,company_name,location,layoff_date,employees_affected,Phone Number,Zip Code,Address,Contact Name,Layoff Type,Union Representation
3434,Thompson Consumer Electronics,Fulton,04/18/2000,30,,10000,,,,
3435,Itt Automotive Products,Grady,04/18/2000,116,,10000,,,,
3436,B & K America,Bartow,04/18/2000,70,,10000,,,,
3437,William Brothers,Fulton,04/18/2000,98,,10000,,,,
3438,"Sears, Roebuck And Company",Clayton,04/18/2000,45,,30303,,,,
3439,"Sears, Roebuck And Company",Fulton,04/18/2000,28,,30303,,,,
3440,Husky Systems,Dekalb,04/18/2000,38,,10000,,,,
3441,Sara Lee Knit Products,Troup,04/18/2000,380,,10000,,,,
3442,Smith & Nephew Perry Company,Muscogee,04/18/2000,54,,10000,,,,
3443,Bowman Transportation,Clayton,04/18/2000,380,,10000,,,,
3444,Drexel Burnham Lambert,Fulton,04/18/2000,12,,10000,,,,
3445,Burlington Transport,Walker,04/18/2000,35,,10000,,,,
3446,A. L. Williams,Gwinnett,04/18/2000,140,,10000,,,,
3447,Integrated Products,Polk,04/18/2000,200,,10000,,,,
3448,Intermarine,Chatham,04/18/2000,48,,10000,,,,
3449,"Healthtex, Inc.",Warren,04/18/2000,500,,10000,,,,
3450,"Valiant United, Inc.",Spalding,04/18/2000,60,,10000,,,,
3451,H. D. Lee,Pickens,04/18/2000,318,,10000,,,,
3452,Curlee Custom Of Buena Vista,Marion,04/18/2000,48,,10000,,,,
3453,Unigraphics,Fulton,04/18/2000,14,,10000,,,,
3454,Graphics Displays,Fulton,04/18/2000,19,,10000,,,,
3455,H & H Manufacturing Corporation,Barrow,04/18/2000,67,,30666,,,,
3456,Security Trust Life Insurance,Bibb,04/18/2000,51,,10000,,,,
3457,Hayes Microcomputer Products,Gwinnett,04/18/2000,150,,10000,,,,
3458,"Oxford Industries, Inc.",Jackson,04/18/2000,219,,10000,,,,
3459,Quality Molded Products Of Georgia,Laurens,04/18/2000,40,,10000,,,,
3460,Pittsburgh Paints (ppg),Fulton,04/18/2000,34,,30344,,,,
3461,Capital Ford Truck Sales,Fulton,04/18/2000,48,,10000,,,,
3462,Pacific-dunlap Gnb Battery,Muscogee,04/18/2000,157,,10000,,,,
3463,Lockheed Aeronautical Systems Co.,Cobb,04/18/2000,100,,30060,,,,
3464,Ramada Inn,Fulton,04/18/2000,45,,10000,,,,
3465,The Westin Lenox Hotel Company,Fulton,04/18/2000,336,,10000,,,,
3466,Glennville Alert,Tattnall,04/18/2000,50,,10000,,,,
3467,Zimmer Motor Vans,Crisp,04/18/2000,80,,10000,,,,
3468,Remington South,Jenkins,04/18/2000,156,,30442,,,,
3469,"Cluett, Peabody And Company, Inc.",Fulton,04/18/2000,350,,30303,,,,
3470,Globe Distribution,Hall,04/18/2000,70,,10000,,,,
3471,Dublin Sportswear,Laurens,04/18/2000,57,,10000,,,,
3472,Nec Information Systems,Henry,04/18/2000,120,,10000,,,,
3473,"Sears, Roebuck And Company",Bibb,04/18/2000,85,,10000,,,,
3474,Zeeman Manufacturing Company,Hall,04/18/2000,76,,30503,,,,
3475,Gec Avionics,Gwinnett,04/18/2000,60,,10000,,,,
3476,Ge Appliance Company,Gwinnett,04/18/2000,53,,10000,,,,
3477,Bleyle Of America Inc.,Coweta,04/18/2000,114,,30263,,,,
3478,Lockheed Aeronautical Systems Co.,Cobb,04/18/2000,143,,30060,,,,
3479,Mack Trucks,Fulton,04/18/2000,24,,10000,,,,
3480,Bankhead Enterprises,Fulton,04/18/2000,77,,10000,,,,
3481,Glennville Lingerie,Tattnall,04/18/2000,140,,10000,,,,
3482,Hazlehurst Lingerie,Jeff Davis,04/18/2000,210,,10000,,,,
3483,Douglas And Lomason,Coweta,04/18/2000,92,,30263,,,,
3484,Zayre,Clayton,04/19/2000,464,,30051,,,,
3485,Zayre,Clayton,04/19/2000,1716,,30051,,,,
3486,Glen Raven Mills,Bibb,04/19/2000,225,,31202,,,,
3487,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,200,,30060,,,,
3488,"J. C. Penney Company, Inc.",Fulton,04/19/2000,270,,30303,,,,
3489,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,50,,30060,,,,
3490,Cardinal Industries,Clayton,04/19/2000,119,,30349,,,,
3491,At&t,Fulton,04/19/2000,228,,30303,,,,
3492,"Burlington Industries, Inc.",Whitfield,04/19/2000,53,,30722,,,,
3493,Peachtree Anesthesia,Fulton,04/19/2000,5,,30303,,,,
3494,Kroger,Walker,04/19/2000,80,,30742,,,,
3495,"Kraft General Foods, Inc.",Dekalb,04/19/2000,100,,30030,,,,
3496,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,90,,30060,,,,
3497,Brandens,Dekalb,04/19/2000,144,,30084,,,,
3498,Miami-carey,Emanuel,04/19/2000,70,,30401,,,,
3499,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,50,,30060,,,,
3500,"Sears, Roebuck And Company",Fulton,04/19/2000,800,,30303,,,,
3501,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,50,,30060,,,,
3502,Caron Yarn,Whitfield,04/19/2000,80,,30728,,,,
3503,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,73,,30060,,,,
3504,Fannie Mae Software Systems,Fulton,04/19/2000,80,,30303,,,,
3505,At&t,Fulton,04/19/2000,66,,30303,,,,
3506,"Eastern Air Lines, Inc.",Fulton,04/19/2000,2000,,30320,,,,
3507,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,40,,30060,,,,
3508,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,30,,30060,,,,
3509,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,20,,30060,,,,
3510,Cardinal Industries,Clayton,04/19/2000,10,,30349,,,,
3511,United States Gypsum,Clayton,04/19/2000,79,,30260,,,,
3512,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,30,,30060,,,,
3513,Rio Stores,Dougherty,04/19/2000,85,,31702,,,,
3514,United Telecommunications Inc.,Fulton,04/19/2000,146,,30303,,,,
3515,Kodalux,Fulton,04/19/2000,168,,30303,,,,
3516,United Cotton Goods,Spalding,04/19/2000,67,,30224,,,,
3517,Sears Merchandise Group,Fulton,04/19/2000,98,,30303,,,,
3518,Burger King,Fulton,04/19/2000,50,,30303,,,,
3519,Foamex Products,Thomas,04/19/2000,18,,31799,,,,
3520,Browning Manufacturing Company,Whitfield,04/19/2000,200,,30705,,,,
3521,National Cash Register,Fulton,04/19/2000,70,,30303,,,,
3522,M & M Products Company,Fulton,04/19/2000,14,,30303,,,,
3523,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,50,,30060,,,,
3524,"Coats And Clark, Inc.",Cobb,04/19/2000,75,,30101,,,,
3525,Wackenhut,Hall,04/19/2000,50,,30503,,,,
3526,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,50,,30060,,,,
3527,Heileman Brewing Company,Houston,04/19/2000,175,,31069,,,,
3528,Williams Telecommunications,Fulton,04/19/2000,59,,30303,,,,
3529,Vantage Manufacturing Company,Laurens,04/19/2000,63,,31019,,,,
3530,United Mcgill Corporation,Spalding,04/19/2000,64,,30224,,,,
3531,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,50,,30060,,,,
3532,Rjr Nabisco,Fulton,04/19/2000,420,,30303,,,,
3533,"Cartersville Spinning, Inc.",Muscogee,04/19/2000,274,,31901,,,,
3534,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,50,,30060,,,,
3535,Champion International Corp. Inc.,Telfair,04/19/2000,70,,31549,,,,
3536,"Sears, Roebuck And Company",Fulton,04/19/2000,46,,30303,,,,
3537,Drexel Burnham Lambert,Fulton,04/19/2000,27,,30303,,,,
3538,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,50,,30060,,,,
3539,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,50,,30060,,,,
3540,"Forstmann And Company, Inc.",Tift,04/19/2000,103,,31793,,,,
3541,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,50,,30060,,,,
3542,"Laidlaw Transit, Inc.",Fulton,04/19/2000,66,,30303,,,,
3543,"Duckhead Apparel Company, Inc.",Barrow,04/19/2000,119,,30680,,,,
3544,Cutronics,Gwinnett,04/19/2000,66,,30090,,,,
3545,"Oxford Industries, Inc.",Taylor,04/19/2000,108,,31076,,,,
3546,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,50,,30060,,,,
3547,Harbison-walker Refractories Co.,Gordon,04/19/2000,50,,30703,,,,
3548,Bankhead Enterprises,Fulton,04/19/2000,125,,30303,,,,
3549,Sunamerica Corporation,Fulton,04/19/2000,450,,30303,,,,
3550,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,50,,30060,,,,
3551,Rich Products,Floyd,04/19/2000,80,,30162,,,,
3552,Lockheed Aeronautical Systems Co.,Cobb,04/19/2000,50,,30060,,,,
3553,Integrated Products,Polk,04/19/2000,92,,30104,,,,
3554,Precision Remanufacturing Org. Inc.,Hall,04/19/2000,93,,30503,,,,
3555,Galite,Polk,04/19/2000,35,,30153,,,,
3556,Fannie Mae Software Systems,Gwinnett,04/19/2000,52,,30090,,,,
3557,Peachtree Door And Windows,Hall,04/19/2000,80,,30503,,,,
3558,Nec Information Systems,Dekalb,04/19/2000,90,,30030,,,,
3559,Emmiline & Hessie Restaiurant,Glynn,04/19/2000,60,,31521,,,,
3560,Waynesboro Apparel Company,Burke,04/19/2000,122,,30830,,,,
3561,Stephenson Sports Wear,Jefferson,04/19/2000,100,,30434,,,,
3562,Fuller - O'brien Paints,Glynn,04/20/2000,34,,31521,,,,
3563,Dominion Engineered Textiles,Upson,04/20/2000,100,,30286,,,,
3564,Smith & Nephew Perry Company,Muscogee,04/20/2000,141,,31901,,,,
3565,Robins Air Force Base,Houston,04/20/2000,260,,31099,,,,
3566,Thrall Car Manufacturing Company,Bartow,04/20/2000,497,,30120,,,,
3567,A. L. Williams,Gwinnett,04/20/2000,250,,30136,,,,
3568,Systems Management Corp.,Fulton,04/20/2000,63,,11111,,,,
3569,National Telephone Service,Fulton,04/20/2000,101,,30303,,,,
3570,"Cluett, Peabody And Company, Inc.",Haralson,04/20/2000,358,,30110,,,,
3571,R. J. Studdard,Washington,04/20/2000,85,,31089,,,,
3572,Pipe Alloy,Dade,04/20/2000,31,,30752,,,,
3573,"Solution Fibers, Inc.",Walker,04/20/2000,80,,30728,,,,
3574,Building Technologies,Haralson,04/20/2000,150,,30176,,,,
3575,"Oxford Industries, Inc.",Forsyth,04/20/2000,71,,30130,,,,
3576,General Dynamics Corporation,Fulton,04/20/2000,13,,30303,,,,
3577,Hanes,Troup,04/20/2000,450,,30241,,,,
3578,Kmart Store,Fulton,04/20/2000,119,,30303,,,,
3579,Kmart Store,Colquitt,04/20/2000,53,,31776,,,,
3580,Puckett Brothers,Dekalb,04/20/2000,53,,30058,,,,
3581,Boyle - Midway,Dekalb,04/20/2000,14,,30356,,,,
3582,Certain-teed,Fulton,04/20/2000,38,,30303,,,,
3583,Dollar General Corporation,Clinch,04/20/2000,250,,31634,,,,
3584,Solectron Corporation,Gwinnett,04/20/2000,475,,30024,,,,
3585,"Reeves Transportation, Inc.",Gordon,04/21/2000,200,,30703,,,,
3586,Triangle Home Products,Sumter,04/21/2000,36,,31709,,,,
3587,Thermo King Corporation,Jefferson,04/21/2000,79,,30434,,,,
3588,Irwin Manufacturing Corporation,Ware,04/21/2000,45,,31502,,,,
3589,Poultry Classics,Hall,04/21/2000,25,,30503,,,,
3590,Davis Water And Waste Company,Thomas,04/21/2000,31,,31799,,,,
3591,Leer Campers,Rockdale,04/21/2000,40,,30207,,,,
3592,Covington Moulding Company,Newton,04/21/2000,40,,30209,,,,
3593,Hyster Corporation,Glynn,04/21/2000,70,,31521,,,,
3594,Rheem Manufacturing Company,Baldwin,04/21/2000,144,,31061,,,,
3595,Horizon Carpet Company,Gordon,04/21/2000,250,,30703,,,,
3596,Apex Uniform And Linen Company,Fulton,04/21/2000,50,,30303,,,,
3597,Appalachian Heritage,Gilmer,04/21/2000,50,,30540,,,,
3598,Interior Products,Glynn,04/21/2000,10,,31521,,,,
3599,Lithonia Lighting Company,Bleckley,04/21/2000,150,,31014,,,,
3600,"Goody Products, Inc.",Dodge,04/21/2000,249,,31021,,,,
3601,Phillips Manufacturing Company,Bacon,04/21/2000,77,,31510,,,,
3602,Gilman Building Products,Pierce,04/21/2000,118,,31516,,,,
3603,Workwear Company,Early,04/21/2000,10,,30512,,,,
3604,Miles Fabricating & Machine Co Inc,Appling,04/21/2000,55,,31513,,,,
3605,"Solution Fibers, Inc.",Walker,04/21/2000,77,,30728,,,,
3606,Robins Air Force Base,Houston,04/21/2000,900,,31099,,,,
3607,Laventhol And Horwath,Fulton,04/21/2000,30,,30303,,,,
3608,"Carlisle Plastics, Inc.",Cobb,04/21/2000,90,,30060,,,,
3609,"Carlisle Plastics, Inc.",Clayton,04/21/2000,100,,30349,,,,
3610,Bardcor Corporation,Clayton,04/21/2000,44,,30260,,,,
3611,General Electric Company,Gwinnett,04/21/2000,49,,30091,,,,
3612,Fort Gordon,Richmond,04/21/2000,67,,30905,,,,
3613,"Gainesville Manufacturing Co., Inc.",Hall,04/21/2000,40,,30501,,,,
3614,Rca Truck Lines,Floyd,04/21/2000,70,,30162,,,,
3615,West Point Pepperell,Troup,04/21/2000,49,,30241,,,,
3616,Tom Thumb Glove Company,Crawford,04/21/2000,66,,31078,,,,
3617,Thrall Car Manufacturing Company,Barrow,04/21/2000,250,,30680,,,,
3618,Zellner Transfer Company,Fulton,04/21/2000,75,,30303,,,,
3619,"Olivetti Supplies, Inc.",Peach,04/21/2000,103,,31030,,,,
3620,Pacific International Express,Fulton,04/21/2000,150,,30303,,,,
3621,Hills Department Store,Catoosa,04/21/2000,90,,30742,,,,
3622,"Perry Communications, Inc.",Fulton,04/21/2000,125,,30344,,,,
3623,Kessler,Troup,04/21/2000,28,,31833,,,,
3624,Dickies Work Clothes,Clayton,04/21/2000,50,,30349,,,,
3625,Apv Lanham,Dekalb,04/21/2000,53,,30303,,,,
3626,C&s Georgia Corporation,Fulton,04/21/2000,150,,30303,,,,
3627,"Great Dane Trailers, Inc.",Chatham,04/21/2000,137,,31418,,,,
3628,Basf Corporation,Screven,04/21/2000,88,,30467,,,,
3629,Queen Carpet Corporation,Tift,04/21/2000,60,,31793,,,,
3630,Sunshine Department Stores,Fulton,04/21/2000,70,,30303,,,,
3631,G. E. Capital Corporation,Dekalb,04/21/2000,109,,30303,,,,
3632,Georgia Pacific Corporation,Baldwin,04/21/2000,54,,31064,,,,
3633,Chicopee Manufacturing Company,Hall,04/21/2000,105,,30501,,,,
3634,"Durham Hosiery Mills, Inc.",Walker,04/21/2000,150,,30728,,,,
3635,"Spurlin Industries, Inc.",Fulton,04/21/2000,80,,30268,,,,
3636,American Universal Insurance Group,Fulton,04/21/2000,42,,30303,,,,
3637,S. N. A. Nut Company,Mitchell,04/21/2000,59,,31730,,,,
3638,Laribee Wire Company,Dekalb,04/21/2000,125,,30341,,,,
3639,"Fleetwood Homes Of Georgia, Inc.",Atkinson,04/21/2000,167,,31642,,,,
3640,Southern Fibre Operations,Mcduffie,04/21/2000,70,,30824,,,,
3641,George T. Meyer Company,Emanuel,04/21/2000,80,,30401,,,,
3642,Prestolite Wire Corporation,Tift,04/21/2000,37,,31793,,,,
3643,"Eds, Inc.",Dekalb,04/21/2000,78,,30085,,,,
3644,Georgia Pacific Corporation,Early,04/21/2000,240,,31732,,,,
3645,Georgia Pacific Corporation,Jasper,04/21/2000,350,,31064,,,,
3646,Brunswick Wood Preserving Company,Glynn,04/21/2000,68,,31521,,,,
3647,"Amrep, Inc.",Bartow,04/21/2000,75,,30120,,,,
3648,"Golco Industries, Inc.",Bartow,04/21/2000,35,,30120,,,,
3649,"American Yard Products, Inc.",Emanuel,04/21/2000,541,,30401,,,,
3650,Arby's,Fulton,04/21/2000,125,,30303,,,,
3651,"Eljer Plumbing Ware, Inc.",Fulton,04/21/2000,76,,30303,,,,
3652,Amoco Fabrics And Fibers Company,Decatur,04/21/2000,215,,31717,,,,
3653,"Reckitt And Colman, Inc.",Dekalb,04/21/2000,138,,30303,,,,
3654,Harmony Grove Mills,Jackson,04/21/2000,142,,30529,,,,
3655,Freudenberg-nok General Partnership,Troup,04/21/2000,58,,30241,,,,
3656,Leader Systems,Cobb,04/21/2000,89,,30060,,,,
3657,Covia/united Air Lines Company,Dekalb,04/21/2000,50,,30303,,,,
3658,"Armstrong World Industries, Inc.",Bibb,04/21/2000,65,,31202,,,,
3659,Camilla Wood Processing,Mitchell,04/21/2000,63,,31730,,,,
3660,Newton Manufacturing Corporation,Mitchell,04/21/2000,45,,31730,,,,
3661,Brach's,Cobb,04/21/2000,34,,30060,,,,
3662,"Healthtex, Inc.",Warren,04/21/2000,170,,30828,,,,
3663,"Cigna Healthcare Of Georgia, Inc.",Fulton,04/21/2000,50,,30303,,,,
3664,Gte/contel,Dekalb,04/21/2000,443,,30303,,,,
3665,"Dobbs House, Inc.",Fulton,04/21/2000,74,,30303,,,,
3666,"J. C. Penney Company, Inc.",Clayton,04/21/2000,44,,30051,,,,
3667,"Cluett, Peabody And Company, Inc.",Haralson,04/21/2000,317,,30113,,,,
3668,Acco,Dekalb,04/21/2000,52,,30086,,,,
3669,Wonderlodge,Peach,04/21/2000,100,,31030,,,,
3670,Nynex Business Information Sys Co,Fulton,04/21/2000,180,,30303,,,,
3671,Rich's,Fulton,04/21/2000,373,,30303,,,,
3672,"General Extrusions, Inc.",Fulton,04/21/2000,76,,30291,,,,
3673,Marta,Fulton,04/21/2000,200,,30303,,,,
3674,Gilbreath Industries,Decatur,04/21/2000,143,,31717,,,,
3675,Teledyne Cae,Hall,04/21/2000,370,,30501,,,,
3676,Lex Electronics,Gwinnett,04/21/2000,31,,30091,,,,
3677,Kemet Electronics Corporation,Muscogee,04/21/2000,226,,31901,,,,
3678,Mayflower Contract Services Inc.,Fulton,04/21/2000,245,,30303,,,,
3679,"Oxford Industries, Inc.",Stephens,04/21/2000,67,,30577,,,,
3680,"Lynley Designs, Inc.",Oconee,04/21/2000,48,,30622,,,,
3681,"Superior Yarn Dyeing, Inc.",Gordon,04/21/2000,35,,30703,,,,
3682,Schreiber Wholesale Services Inc.,Morgan,04/21/2000,80,,30650,,,,
3683,Senior Citizens Services Of Atlanta,Fulton,04/21/2000,40,,30303,,,,
3684,Esselte Pendaflex Corporation,Richmond,04/21/2000,111,,30903,,,,
3685,Amoco Fabrics And Fibers Company,Decatur,04/21/2000,350,,31717,,,,
3686,Teledyne Cae,Hall,04/21/2000,110,,30501,,,,
3687,"General Extrusions, Inc.",Fulton,04/21/2000,67,,30291,,,,
3688,General Hardware Company,Fulton,04/21/2000,140,,30303,,,,
3689,General Dynamics Corporation,Fulton,04/21/2000,90,,30303,,,,
3690,National Linen Service,Muscogee,04/21/2000,73,,31901,,,,
3691,Burdines Enterprises Inc.,Chatham,04/21/2000,102,,31418,,,,
3692,Rincon Sportswear Manufacturing Inc,Effingham,04/21/2000,105,,31329,,,,
3693,Fort Gordon,Richmond,04/21/2000,300,,30905,,,,
3694,Ejd,Grady,04/21/2000,62,,31728,,,,
3695,First Transit,Cobb,04/21/2000,100,,30062,,,,
3696,Homebanc Mortgage Corporation,Fulton,04/25/2000,54,,30303,,,,
3697,Bellcrest Homes,Jenkins,04/26/2000,151,,30442,,,,
3698,"Cluett, Peabody And Company, Inc.",Fulton,04/27/2000,70,,30303,,,,
3699,Standard Register Company,Stephens,05/02/2000,102,,30577,,,,
3700,Winn-dixie Stores,Whitfield,05/02/2000,55,,30720,,,,
3701,Winn-dixie Stores,Polk,05/02/2000,51,,30125,,,,
3702,Winn-dixie Stores,Gordon,05/02/2000,60,,30160,,,,
3703,Resolution Trust Corporation,Fulton,05/05/2000,350,,30303,,,,
3704,Mcclure Manufacturing,Gilmer,05/08/2000,50,,30540,,,,
3705,Champion Products,Ben Hill,05/08/2000,50,,31750,,,,
3706,"Roberds, Inc.",Dekalb,05/10/2000,200,,30340,,,,
3707,"Mulox, Inc.",Bibb,05/10/2000,70,,31216,,,,
3708,Trw Aeronautical Systems,Bibb,05/10/2000,350,,31216,,,,
3709,Bellcrest Homes,Jenkins,05/10/2000,151,,30442,,,,
3710,"Casual Corner Group, Inc",Gwinnett,05/12/2000,50,,30071,,,,
3711,Dsc Logistics,Clayton,05/12/2000,120,,30297,,,,
3712,Bp Amoco (polypropylene Bus. Unit),Forsyth,05/12/2000,111,,30004,,,,
3713,"Ithaca Industries, Inc.",Toombs,05/17/2000,450,,30474,,,,
3714,"Apparel Brands, Inc.",Johnson,05/17/2000,121,,31096,,,,
3715,"Sunnyland Foods, Inc.",Thomas,05/17/2000,281,,31792,,,,
3716,Uniprise Customer Svs/claims Divi.,Gwinnett,05/18/2000,200,,30097,,,,
3717,Firecraft Technologies,Fulton,05/24/2000,64,,30336,,,,
3718,Rock-tenn Company,Gwinnett,05/24/2000,100,,30071,,,,
3719,Wabtec,Cherokee,05/24/2000,40,,30107,,,,
3720,Research Institute Of America,Cobb,06/01/2000,70,,30303,,,,
3721,Joslyn Manufacturing,Fulton,06/01/2000,56,,30336,,,,
3722,Cajun Bag & Supply Corporation,Columbia,06/07/2000,49,,30809,,,,
3723,Spring Industries - Children Wear,Spalding,06/08/2000,270,,30228,,,,
3724,Spring Industries - Children Wear,Butts,06/08/2000,120,,30223,,,,
3725,Imc Plastics,Jackson,06/08/2000,100,,30567,,,,
3726,First Data Corporation,Fulton,06/08/2000,70,,30328,,,,
3727,Arrow Industries,Troup,06/08/2000,77,,30240,,,,
3728,Associates Financial Services Co.,Fulton,06/08/2000,94,,30329,,,,
3729,L.a.t. Sportswear,Cherokee,06/12/2000,40,,30107,,,,
3730,Precision Components International,Muscogee,06/19/2000,54,,31908,,,,
3731,Inacom Corporation,Fulton,07/05/2000,1200,,30004,,,,
3732,Cluett Peabody Co. (corp. Office),Cobb,07/05/2000,140,,30001,,,,
3733,Cluett Peabody-cutting,Cobb,07/28/2000,100,,30001,,,,
3734,"Marks & Morgan Jewelers, Inc.",Richmond,08/02/2000,160,,30904,,,,
3735,Super K-mart Center,Lowndes,08/11/2000,270,,31601,,,,
3736,Us Dept.of Commerce - Census Bureau,Fulton,08/11/2000,1600,,30303,,,,
3737,Prudential Bank & Trust,Fulton,08/11/2000,112,,30346,,,,
3738,Kmart Store,Dekalb,08/11/2000,136,,30083,,,,
3739,Td Waterhouse,Fulton,08/11/2000,57,,30328,,,,
3740,Alken-ziegler L.l.c. & Horton Co.,Pickens,08/11/2000,70,,30143,,,,
3741,Tattnall County Memorial Hospital,Tattnall,08/14/2000,75,,30453,,,,
3742,Kmart Store,Fayette,08/16/2000,65,,30214,,,,
3743,Heilig-meyers Furniture Dist Ctr,Thomas,08/21/2000,88,,31792,,,,
3744,Prince Street Technologies,Bartow,08/23/2000,250,,30120,,,,
3745,Lowe's Home Improvement,Troup,08/23/2000,68,,30240,,,,
3746,Bank Of America,Fulton,08/25/2000,51,,30005,,,,
3747,Albertson's,Catoosa,08/25/2000,65,,30742,,,,
3748,"Cavalier Industries, Inc.",Johnson,09/01/2000,145,,31002,,,,
3749,Harriet & Henderson,Chattooga,09/13/2000,111,,30747,,,,
3750,Wachovia Corporation,Fulton,09/13/2000,158,,30303,,,,
3751,1-800-flowers.com,Cobb,09/13/2000,140,,30067,,,,
3752,Mead Containerboard,Fulton,09/21/2000,90,,30318,,,,
3753,Galey & Lord Industries,Floyd,09/21/2000,600,,30172,,,,
3754,"Raider Apparel, Inc.",Bacon,09/25/2000,100,,31510,,,,
3755,"Fleetwood Homes Of Georgia, Inc.",Coffee,09/29/2000,222,,31534,,,,
3756,"Fleetwood Homes Of Georgia, Inc.",Atkinson,09/29/2000,61,,31642,,,,
3757,Weyerhauser,Lamar,10/03/2000,70,,30204,,,,
3758,Destiny Homes/oakwood Homes,Colquitt,10/04/2000,330,,31776,,,,
3759,General Time Corporation (westclox),Clarke,10/27/2000,225,,30607,,,,
3760,Thrall Car Manufacturing Co.,Barrow,10/27/2000,870,,30680,,,,
3761,"Asc,inc.",Dekalb,10/31/2000,40,,30340,,,,
3762,Augusta Sportswear,Jenkins,11/03/2000,102,,30442,,,,
3763,Dolly Madison Bakery,Muscogee,11/03/2000,63,,31901,,,,
3764,Brown & Williamson Tobacco Corp,Bibb,11/03/2000,430,,31217,,,,
3765,Crown Crafts,Gordon,11/15/2000,49,,30701,,,,
3766,"Johnston Industries, Inc.",Muscogee,11/22/2000,375,,31901,,,,
3767,"Texprint, Inc.",Bibb,11/22/2000,87,,31217,,,,
3768,The Clowhite Company,Henry,11/27/2000,65,,30228,,,,
3769,Sony Music,Carroll,11/27/2000,49,,30117,,,,
3770,Kysor/warren,Rockdale,11/27/2000,49,,30012,,,,
3771,"Utiliquest, Llc",Fulton,11/27/2000,353,,30350,,,,
3772,Phoenix Communications,Dekalb,11/28/2000,90,,30341,,,,
3773,Covad Communications Group,Dekalb,12/11/2000,203,,30328,,,,
3774,Egs/ O-z Gedney,Troup,12/14/2000,72,,30240,,,,
3775,"Ixl, Inc.",Fulton,12/15/2000,100,,30309,,,,
3776,Dorsey Trailers,Bartow,12/15/2000,101,,30120,,,,
3777,Thrall Car,Bartow,12/15/2000,270,,30121,,,,
3778,"Cottrell, Inc.",Hall,12/15/2000,200,,30507,,,,
3779,"Beaulieu Of America, Inc.",Muscogee,12/18/2000,415,,31901,,,,
3780,"Lindale Manufacturing, Inc.",Floyd,01/11/1999,525,,30147,,,,
3781,American Red Cross Blood Services,Chatham,01/13/1999,75,,31401,,,,
3782,"Oxford Industries, Inc.",Toombs,01/14/1999,200,,30474,,,,
3783,"Forstmann And Company, Inc.",Jefferson,01/14/1999,175,,30434,,,,
3784,"Forstmann And Company, Inc.",Baldwin,01/14/1999,200,,31061,,,,
3785,"Ithaca Industries, Inc.",Grady,01/19/1999,360,,31728,,,,
3786,Sony Music,Carroll,01/25/1999,60,,30117,,,,
3787,Boeing Duluth,Gwinnett,01/26/1999,825,,30097,,,,
3788,"C. R. Bard, Inc.",Newton,01/26/1999,150,,30014,,,,
3789,Habersham Mills,Habersham,01/26/1999,126,,30544,,,,
3790,Gec Marconi-avionics,Gwinnett,01/28/1999,166,,30071,,,,
3791,"Frito Lay, Inc.",Dekalb,01/28/1999,442,,30341,,,,
3792,Crawford & Company,Fulton,01/28/1999,50,,30342,,,,
3793,Lockheed Aeronautical Systems Co.,Cobb,01/29/1999,280,,30063,,,,
3794,The William Carter Company,Washington,02/01/1999,150,,31082,,,,
3795,The William Carter Company,Upson,02/05/1999,333,,30286,,,,
3796,"Datex Ohmedia, Inc.",Cobb,02/05/1999,110,,30168,,,,
3797,Amoco Fabrics And Fibers Company,Jeff Davis,02/08/1999,78,,31539,,,,
3798,Levi Strauss & Company,Lowndes,03/01/1999,871,,31603,,,,
3799,Torrington Company,Elbert,03/05/1999,200,,30635,,,,
3800,Sears Atlanta Commerical Credit Ctr,Fulton,03/05/1999,160,,30345,,,,
3801,Vf Knitwear-bassett Walker,Jackson,03/05/1999,171,,30529,,,,
3802,Ayers Corporation,Dougherty,03/05/1999,108,,31706,,,,
3803,Intermetro Industries Corporation,Coffee,03/05/1999,66,,31533,,,,
3804,The Morgan Health Group,Gwinnett,03/24/1999,51,,30092,,,,
3805,Sears Logistics Group,Dekalb,03/24/1999,73,,30084,,,,
3806,Peeler Jersey Farms,Clarke,03/24/1999,62,,30607,,,,
3807,Hexcel Schwebel-cleveland Plant,White,03/24/1999,119,,30528,,,,
3808,"Crown Cork & Seal Company, Inc.",Fulton,03/24/1999,132,,30324,,,,
3809,Fulton County Mental Health/retard,Fulton,03/25/1999,150,,30303,,,,
