,company_name,location,notice_date,layoff_date,employees_affected,Industry
824,Arby's Restaurant,Westville,10/20/2011,12/23/2011,8,Full-Service Restaurants
825,"Musician's Friend, Inc.",South Bend,10/14/2011,12/30/2011,64,Musical Instrument & Supplies Stores
826,Graphic Packaging International,LaPorte,10/12/2011,02/24/2012,128,Paperboard Mills
827,"Vantiv, LLC",Evansville,10/05/2011,02/10/2012,55,"Data Processing, Hosting, and  Related Services"
828,"Vantiv, LLC-Revised",Evansville,,,,
829,"Vantiv, LLC-Revised",Evansville,,,,
830,TEREX Corporation,Fort Wayne,10/04/2011,12/02/2011,53,Construction Machinery Manufacturing
831,"Navistar, Inc",Fort Wayne,09/30/2011,12/02/2011,133,Automobile Manufacturing
832,"Navistar, Inc-Revised",Fort Wayne,,,,
833,"Navistar, Inc-Attachment",Fort Wayne,,,,
834,"Navistar, Inc-Revised",Fort Wayne,,,,
835,Comcast,Fishers,09/22/2011,09/16/2011,57,Cable and Other Subscription  Programming
836,"Pace American Enterprises, Inc",Middlebury,09/13/2011,11/18/2011,106,Truck Trailer Manufacturing
837,"Vantiv, LLC",Evansville,09/16/2011,11/07/2011,25,"Data Processing, Hosting, and Related Services"
838,Workhorse Custom Chassis LLC,Union City,09/12/2011,11/01/2011,212,Automobile Manufacturing
839,Workhorse Custom Chassis LLC-Revised,Union City,,,,
840,Ingersoll Rand,Indianapolis And Carmel,09/01/2011,11/01/2011,17,Other Heavy Construction
841,Lockheed Martin Corporation,Indianapolis,08/15/2011,10/16/2011,47,Engineering Svcs
842,Caribbean Cove Hotel and Water Park,Indianapolis,08/09/2011,10/09/2011,206,Amusement & Theme Parks
843,Lockheed Martin Corporation,Crane,07/28/2011,09/30/2011,7,Engineering Svcs
844,Ficosa North America,Berne,07/25/2011,04/30/2012,175,All Other Home Furnishings Stores
845,Ficosa North America-Revised,Berne,,,,
846,Ficosa North America-Exhibit A,Berne,,,,
847,Ficosa North America-Revised,Berne,,,,
848,"Kearney & Company, P.C.",Indianapolis,07/21/2011,10/01/2011,84,Accountants
849,Regional Elite Airline Services,Indianapolis,07/18/2011,10/01/2011,59,Scheduled Passenger Air Transportation
850,Comcast Cable,Indianapolis,06/29/2011,09/11/2011,103,Cable & Other Subscription Programming
851,Nidec Motor Corp.,Frankfort,06/16/2011,08/16/2011,94,Industrial & Commercial Fan & Blower Manufacturing
852,Tree.Com.Inc,Carmel,06/03/2011,08/03/2011,64,Miscellaneous Intermediation
853,Dietrich Metal Framing,Hammond,05/04/2011,06/26/2011,105,Iron and Steel Mills
854,Best Buy,Franklin,05/16/2011,03/31/2011,301,"Radio, TV & Other Electronics"
855,Nordstrom,Indianapolis,05/27/2011,07/31/2011,203,Department Store
856,R.R. Donnelley & Sons,South Bend,05/31/2011,07/24/2012,107,Books Printing
857,"Flextronics Americas, LLC",Statewide- Various Locations,05/31/2011,08/31/2011,41,Cellular Telephone Services
858,Ditan Distribution,Plainfield,04/19/2011,08/05/2011,76,Advertising Material Distribution Svcs
859,Ruan Transport Corporation,Decatur,03/30/2011,06/01/2011,58,"General Freight Trucking, Long-Distance, Truckload"
860,Lafayette Life Insurance Company,Lafayette,03/24/2011,07/01/2011,159,Direct Life Insurance Carriers
861,Northstar Aerospace Inc,Anderson,03/02/2011,06/24/2011,48,Other Aircraft Parts and Auxiliary Equipment Manufacturing
862,Monroe Bank (Division of Old National Bank),Bloomington,02/15/2011,06/01/2011,59,Commercial Banking
863,Genco ATC,Brownsburg,02/14/2011,04/30/2011,76,General Warehousing and Storage
864,Masco Support Services,Indianapolis,02/07/2011,07/29/2011,67,Wood Kitchen Cabinet and Countertop Manufacturing
865,"Key Plastics, LLC",Hartford City,01/27/2011,07/29/2011,214,Plastics Materials Merchant Wls
866,"Caterpillar Logistics, Inc.",Greenfield,01/24/2011,05/01/2011,84,Construction Machinery Manufacturing
867,Medtec Ambulance Corp.,Goshen,01/11/2011,03/31/2011,154,Motor Vehicle Body Manufacturing
868,Milbank Manufacturing Co.,Kokomo,01/07/2011,03/08/2011,75,Current Carrying Wiring Device Manufacturing
869,Fluor,Rockport,01/06/2011,03/11/2011,132,Masonry Construction
870,Siemens Industry Inc.,Rockport,01/04/2011,03/11/2011,63,Relay and Industrial Control Manufacturing
871,AJWright,South Bend,12/10/2010,02/08/2011,725,Family Clothing Stores
872,General Motors Stamping Plant,Indianapolis,11/29/2010,06/30/2011,443,Motor Vehicle Metal Stamping
873,General Motors Stamping Plant-Revised,Indianapolis,,,,
874,General Motors Stamping Plant-Revised,Indianapolis,,,,
875,General Motors Stamping Plant-Revised,Indianapolis,,,,
876,General Motors Stamping Plant-Revised,Indianapolis,,,,
877,Printpack Inc.,Greensburg,11/17/2010,01/20/2011,230,Coated & Laminated Packaging Materials Mfg.
878,Printpack Inc.-Revised,Greensburg,,,,
879,Printpack Inc.-Revised,Greensburg,,,,
880,Weil-McLain,Michigan City,11/08/2010,01/09/2011,87,Air-Conditioning & Warm Air Heating Equipment Manufacturing
881,"Automotive Components Holding, LLC",Indianapolis,10/28/2010,LO-01/14/2011 CL-End of 2012,26,Motor Vehicle Steering and Suspension Components Manufacturing
882,"Automotive Components Holding, LLC-Revised",Indianapolis,,,,
883,"Automotive Components Holding, LLC-Revised",Indianapolis,,,,
884,"Automotive Components Holding, LLC-Revised",Indianapolis,,,,
885,"Automotive Components Holding, LLC-Revised",Indianapolis,,,,
886,Principal Financial Group,Indianapolis,10/11/2010,12/10/2010,60,Misc. Financial Investment Activities
887,Hoffmaster Group Inc dba Creative Converting,Indianapolis,10/07/2010,02/25/2011,80,General Warehousing and Storage
888,TeleServices Direct,Greenwood,10/04/2010,12/04/2010,260,Telephone Call Centers
889,Camryn Industries,Berne,10/04/2010,10/15/2010,250,Motor Vehicle Seating and Interior Trim Manufacturing
890,Camryn Industries-Revised,Berne,,,,
891,"Xanodyne Pharmaceuticals, Inc.","Newport, KY",09/21/2010,11/21/2010 - 03/15/2011,4 Hoosiers,Pharmaceutical Preparation Manufacturing
892,Ford Motor Company,Indianapolis,09/17/2010,05/06/2011,46,Motor Vehicle Steering
893,Ford Motor Company-Revised,Indianapolis,,,,
894,"DMI Furniture, Inc",Huntingburg,09/15/2010,11/19/2010,62,Nonupholstered Wood Household Furniture
895,IAC International Automotive Components,Greencastle,09/09/2010,11/10/2010,202,Automobile Manufacturing
896,Spa Chakra - Conrad Hotel,Indianapolis,08/31/2010,08/20/2010,18,Hotels (except casino hotels)
897,Eli Lilly and Company,Indianapolis,08/09/2010,11/30/2010,500,Pharmaceutical Preparation Manufacturing
898,Perfect Fit Industries,Loogootee,08/06/2010,12/31/2010,95,Other Household Textile Product Mills
899,Norwood Promotional Products LLC,Indianapolis,07/08/2010,01/31/2011,57,Business to Consumer retail sales Internet sites
900,Indiana Medical Associates LLC,Fort Wayne,07/01/2010,09/01/2010,102,Other Hospitals
901,Peabody Indiana Services LLC,Pimento,07/01/2010,08/31/2010,90,Bituminous Coal & Lignite Surface Mining
902,Peabody Midwest Management Services LLC,Pimento,07/01/2010,08/31/2010,10,Bituminous Coal & Lignite Surface Mining
903,Engineered Plastic Components Inc. -dba- Innatech LLC,Richmond,06/29/2010,08/17/2010,75,All Other Plastics Product Manufacturing
904,Pace American,Middlebury,06/01/2010,07/31/2010,150,Travel Trailer and Camper Mfg.
905,MHP Pharmacy -dba- Freedom Pharmacy,Indianapolis,06/02/2010,08/02/2010,55,Misc. Ambulatory Health Care Svc
906,MHP Pharmacy -dba- Freedom Pharmacy-Revised,Indianapolis,,,,
907,ADCO Products Inc.,Evansville,05/24/2010,08/06/2010,68,Adhesive Manufacturing
908,Navistar (dba Indpls Casting Corp.),Indianapolis,04/26/2010,07/2010,415,All Other Motor Vehicle Parts Mfg.
909,Dawn Foods,Crown Point,04/08/2010,08/31/2010,160,Frozen Pastry Manufacturing
910,Dawn Foods-Revised,Crown Point,,,,
911,Dawn Foods-Revised,Crown Point,,,,
912,Knauf Insulation GmbH,Shelbyville,04/07/2010,06/06/2010,100,All Other Miscellaneous Manufacturing
913,Temple-Inland,Evansville,03/29/2010,05/28/2010,97,Corrugated/Solid Fiber Box Manufacturing
914,Ceva Logistics U.S. Inc,Plainfield,03/17/2010,06/30/2010,253,Other Warehouse and Storage
915,I.V.C Industrial Coating,Indianapolis,03/02/2010,06/01/2010,55,Paint and Coating Manufacturing
916,Diversified System Inc.,Indianapolis,02/25/2010,04/30/2010,104,Circuit Board Mfg
917,Universal Music Group,Fishers,02/23/2010,05/09/2010,34,Unknown
918,K-Mart Store No. 4913,Terre Haute,02/19/2010,05/07/2010,141,Discount Department Store
919,Gunite Corporation,Elkhart,02/18/2010,05/31/2010,100,Motor Vehicle Brake System Manufacturing
920,K-Mart Store No. 9187,Connersville,02/05/2010,05/31/2010,59,Discount Department Store
921,AAA Hoosier Motor Club,Indianapolis,02/03/2010,06/30/2010,61,Professional Organization
922,Cardinal Health,Indianapolis,02/02/2010,04/03/2010,49,Surgical Medical Instrument mfg
923,NAL Worldwide,Plainfield,02/02/2010,03/31/2010,126,General Warehousing and Storage
924,Visteon,Indianapolis,01/26/2010,03/31/2010,15,Engine Part Manufacturing
925,Apria Healthcare,Indianapolis,01/18/2010,01/29/2010,32,Other Residential Care Facility
926,Gunite Corporation,Elkhart,01/12/2010,03/23/2010,136,Motor Vehicle Brake System Manufacturing
927,Acubuilt,Elkhart,01/06/2010,03/06/2010,73,Motor Home Manufacturing
928,Newport Chemical Depot,Newport,12/28/2009,12/30/2009,207,Radioactive Material Disposal
929,Newport Chemical Depot-Revised,Newport,,,,
930,Rock-Tenn Converting Company,Columbus,12/15/2009,02/13/2010,71,Newsprint Mills
931,Madison Center,South Bend,12/09/2009,01/4/2010,100,Psychiatric and Substance Abuse Hospital
932,K-Mart Store No. 3321,Jeffersonville,12/03/2009,02/7/2010,69,Discount Department Store
933,Lincoln Food Service Products Inc.,Fort Wayne,12/02/2009,02/1/2010,190,Other Commercial and Service Machinery
934,Visteon Corporation,Indianapolis,12/1/2009,01/29/2010,187,Engine Parts Manufacturing
935,Visteon Corporation-Revised,Indianapolis,,,,
936,Apria Healthcare,Indianapolis,11/18/2009,12/31/2009,35,Other Residential Care Facilities
937,Graphic Packaging,Fort Wayne,11/03/2009,6/30/2010,118,Folding Paperboard box Manufacturing
938,"Workhorse Custom Chassis, LLC",Union City,11/02/2009,1/04/2010,90,Automotive Manufacturing
939,Carlisle Industrial Brake and Friction (Carlisle Corp),Logansport,11/02/2009,12/25/2009,118,Motor Vehicle Brake System Manufacturing
940,Eli Lilly,Indianapolis,11/02/2009,12/31/2009,191,Pharmaceutical Preparation Manufacturing
941,Masonite Corporation,South Bend,10/22/2009,12/23/2009,73,Woo Product Manufacturing
942,Bristol-Myers Squibb Company,Evansville and Mount Vernon,10/20/2009,12/31/2009,113,Druggists' Goods Merchant Wholesalers
943,Lockheed Martin,Indianapolis,10/14/2009,12/12/2009,25,Aerospace product manufacturing
944,Heraeus Electro-Nite Co.,Peru,10/06/2009,12/07/2009,109,Other Electronic Component Manufacturing
945,Heraeus Electro-Nite Co.-Revised,Peru,,,,
946,"Peabody Midwest Management Services, LLC",Francisco,09/23/2009,11/23/2009,133,Coal Mining
947,International Aerospace Tubes,Indianapolis,08/27/2009,10/28/2009,106,Aerospace Product Manufacturing
948,Kmart Corp.,Martinsville,08/06/2009,11/08/2009,48,Discount Department Stores
949,Continental Automotive Systems,Elkhart,08/03/2009,09/30/2009,42,Miscellaneous Electrical Equipment
950,MANN+HUMMEL USA Inc.,South Bend,07/30/2009,09/30/2009,57,All Other Miscellaneous Manufacturing
951,Valmont Industries,Elkhart,07/23/2009,09/23/2009,15,Fabricated Structural Metal Mfg
952,Duffy Tool and Stamping,Muncie,07/27/2009,10/30/2009,130,Metal Stamping
953,Reiter Automotive,Lowell,07/23/2009,Prior to the end of 2009 (as stated in the WARN notice),130,All Other Motor Vehicle Parts Mfg
954,Plymouth Tube Co.,Winamac,07/14/2009,08/03/2009,19,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
955,Altec LLC,Fort Wayne,07/10/2009,10/31/2009,64,Heavy Duty Truck Manufacturing
956,Stride Rite Corporation,Huntington,07/10/2009,09/11/2009,120,Footwear Manufacturing
957,Fleetwood Homes,Garrett,07/02/2009,08/31/2009,87,Manufactured Mobile Home Manufacturing
958,Meridian Automotive Systems,Grabill,07/02/2009,07/02/2009,122,Manufacture reinforced plastic panels for the automotive and truck
959,US Food Service Inc.,Bloomington,06/23/2009,10/03/2009,400,General Line Grocery Merchant Wholesale
960,Girtz Industries Inc.,Monticello,06/11/2009,08/10/2009,60,Miscellaneous Fabricated Metal Products
961,"Columbus Components Group, LLC",Columbus,06/10/2009,07/31/2009,215,All Other Motor Vehicle Parts Mfg
962,NAL Worldwide LLC,Fort Wayne,05/29/2009,05/29/2009 to 12/01/2009,70,"Process, physical distribution, and logistics Consulting services"
963,Meridian Automotive Systems,Shelbyville,06/08/2009,07/02/2009,295,Manufacture reinforced plastic panels for the automotive and truck
964,Thermo Fisher Scientific,Indianapolis,06/08/2009,12/31/2009,114,Medical Laboratories
965,Jasper Group,Batesville,06/05/2009,08/02/2009,110,Nonupholstered Wood Household Furniture
966,Philips Products,Bristol,06/03/2009,08/05/2009,8,Metal Window and Door Manufacturing
967,Philips Products,Elkhart,06/03/2009,08/05/2009,249,Metal Window and Door Manufacturing
968,Contech,Pierceton,06/02/2009,07/01/2009 to 7/08/2009,59,Ornamental and Architectural Metal Work
969,Apria Healthcare,Indianapolis,06/1/2009,07/22/2009 to 8/31/2009,11,Other Residential Care Facilities
970,Harsco Metals,East Chicago,06/1/2009,07/31/2009,92,Metal Cutting Machine Tool Manufacturing
971,Fort Wayne Foundry,Columbia City,05/29/2009,5/28/2009 to 6/30/2009,287,Iron and Steel Mills
972,Fort Wayne Foundry,Fort Wayne,05/29/2009,05/29/2009 to 06/30/2009,174,Iron and Steel Mills
973,"Caterpillar Logistics Services, Inc.",Lafayette,05/28/2009,08/24/2009,158,Motor Vehicle Supplies and New Parts Merchant Wholesalers
974,The Mitchell Group,Indianapolis,05/26/2009,12/01/2008,104,Precision Manufacturing
975,Delta Faucet,Greensburg,05/27/2009,07/29/2009 to 1/29/2010,265,All Other Miscellaneous Manufacturing
976,Altec Aluminum Technologies,Jeffersonville,05/22/2009,07/24/2009,60,Aluminum Extruded Product Manufacturing
977,Stock Building Supply,Franklin,05/12/2009,07/12/2009,85,Other Building Material Dealers
978,"Standard Locknut, LLC",Westfield,05/13/2009,04/10/2009 to 5/14/2009,78,"Bolts, Nuts, Screws, Rivets, and Washers"
979,Caterpillar,Lafayette,05/15/2009,08/24/2009,985,Construction Machinery Manufacturing
980,ArcelorMittal,East Chicago,05/12/2009,07/12/2009,978,Iron and Steel Mills
981,Icon Metal Forming LLC,Corydon,05/05/2009,05/06/2009,140,All Other Motor Vehicle Parts Mfg
982,Caterpillar,Lafayette,05/06/2009,07/31/2009,141,Fabricating Pipe and Pipe Fittings
983,Guardian Automotive Products,Ligonier,05/04/2009,05/08/2009,133,Motor Vehicle Body Manufacturing
984,Cummins Inc,Walesboro,05/07/2009,05/13/2009,694,Other Engine Equipment Manufacturing
985,"Mars Petcare US, Inc",Portland,05/06/2009,06/08/2009,51,Dog and Cat Food Manufacturing
986,"American Medical Response Ambulance Service, Inc",Fort Wayne,05/01/2009,06/30/2009,116,Ambulance Services
987,Wabash National,Lafayette,05/01/2009,1st Quarter 2009,790,Truck Trailer Manufacturing
988,Baldor,Columbus,04/30/2009,06/30/2009,122,Other Motor Vehicle Electrical Equipment
989,Noble International,Butler,04/21/2009,06/20/2009,153,Rolled Steel Manufacturing
990,Harsco Metals,East Chicago,04/24/2009,07/31/2009,57,Metal Cutting Machine Tool Manufacturing
991,Valmont Industries,Elkhart,04/15/2009,06/16/2009,70,Fabricated Structural Metal Manufacturing
992,Cinram Inc.,Richmond,04/17/2009,06/16/2009,330,Audio and Video Media Reproduction
993,United,Indianapolis,04/13/2009,06/16/2009,47,Scheduled Passenger Air Transportation
994,IH Lumber,Chandler,04/06/2009,04/06/2009,,"Cut Stock, Resawing, Lumber, and Planning"
995,Dawn Food Products,Ossian,04/07/2009,06/30/2009,59,Commercial Bakeries
996,Moody's Analytics,South Bend,04/01/2009,06/12/2009,70,Credit Rating Services
997,Mitsubishi Heavy Industries Climate Control Inc.,Franklin,04/07/2009,06/07/2009 to 06/19/2009,87,Manufacturing
998,Small Parts Incorporated,Logansport,03/12/2009,12/19/2008 to 2/27/2009,107,Motor Vehicle Metal Stamping
999,"Smoker Craft, Inc",New Paris,03/30/2009,08/30/2008 to 2/27/2009,69,Boat Building
1000,"Smoker Craft, Inc",Topeka,03/30/2009,08/30/2008 to 2/27/2009,25,Boat Building
1001,Fleetwood,Decatur,04/01/2009,06/30/2009,443,Travel Trailer and Camper Manufacturing
1002,Sun Microsystems,Indianapolis,03/30/2009,05/30/2009 to 6/13/2009,7,Electronic Computer Manufacturing
1003,Graphic Packaging,Muncie,03/30/2009,05/29/2009 to 9/15/2009,151,Packaging Machinery Manufacturing
1004,Metaldyne,Fremont,03/27/2009,01/05/2009 to 3/30/2009,67,Other Metal Valves and Pipe Fittings
1005,Direct Brands Inc.,Indianapolis,03/25/2009,06/01/2009 to 2/26/2010,151,Distributor of media products
1006,Direct Brands Inc.,Terre Haute,03/25/2009,05/29/2009 to 3/31/2010,147,Distributor of media products
1007,"Columbus Components Group, LLC",Columbus,03/25/2009,04/09/2009,338,All Other Motor Vehicle Parts Mfg
1008,Fort Wayne Foundry (Lima Road Division),Fort Wayne,03/25/2009,06/28/2009,174,Iron and Steel Mills
1009,Fort Wayne Foundry (Machining Division),Fort Wayne,03/25/2009,06/28/2009,52,Iron and Steel Mills
1010,Amazon,Munster,03/25/2009,05/25/2009,45,General Warehousing and Storage
1011,Aleris Rolled Products,Terre Haute,03/24/2009,05/23/2009,50,All Other Miscellaneous Manufacturing
1012,Rea Magnet Wire,Fort Wayne,03/20/2009,05/20/2009,85,Other Fabricated Wire Product Mfg
1013,Dexter Axle,Elkhart,03/20/2009,06/26/2009,119,All Other Motor Vehicle Parts Mfg
1014,Caterpillar,Lafayette,03/17/2009,05/29/2009,439,Fabricated Pipe and Pipe Fittings
1015,"Iceberg Enterprises, LLC",Howe,03/13/2009,05/12/2009,48,All Other Motor Vehicle Parts Mfg
1016,Vibracoustic North America (Fruedenburg-NOK),Ligonier,02/27/2009,03/13/2009,54,All Other Motor Vehicle Parts Mfg
1017,Eaton Corporation,Greenfield,03/10/2009,05/11/2009,103,Motor Vehicle Power Train Components
1018,"Sumco, Inc",Indianapolis,03/12/2009,05/12/2009,110,Primary smelting and refining of nonferrous metal
1019,Wishard Health Services,Indianapolis,03/11/2009,05/13/2009,250,General Medical and Surgical Hospitals
1020,Sportsman's Warehouse,Lafayette,03/10/2009,05/11/2009 to 05/24/2009,44,Discount Department Stores
1021,Monaco Coach Corporation,"Wakarusa, Milford, Warsaw",03/03/2009,03/02/2009 to next few months,515,Travel Trailer and Camper Manufacturing
1022,PK U.S.A Inc.,Shelbyville,03/03/2009,03/04/2009 to 04/30/2009,70,Motor Vehicle Metal Stamping
1023,"Sears, Roebuck & Co.",Noblesville,02/26/2009,05/31/2009,69,"Department Stores, ex. Discount"
1024,"Anderson Services, LLC",Bloomington,02/24/2009,02/11/2009,56,News Dealers and Newsstands
1025,Martin Transportation Systems,Gas City,02/13/2009,04/30/2009,92,"Support Activities, Transport"
1026,Kmart Corp.,Vincennes,02/26/2009,07/08/2009,67,Discount Department Stores
1027,Porter Inc.,Decatur,02/03/2009,02/27/2009,225,Boat Building
1028,Caterpillar,Plainfield,02/20/2009,04/30/2009,23,Fabricated Pipe and Pipe Fittings
1029,Navistar,Indianapolis,02/19/2009,12/31/2009,1336,All Other Motor Vehicle Parts Mfg
1030,BorgWarner,Muncie,02/11/2009,04/13/2009,750,All Other Motor Vehicle Parts Mfg
1031,Firestone,Noblesville,02/10/2009,6/26/2009,238,All Other Rubber Product Manufacturing
1032,Keystone RV Company,Goshen Howe,02/2/2009,04/03/2009 to 5/01/2009,265,Motor Home Manufacturing
1033,Amsted Rail/ASF-ASF Keystone,Hammond,02/06/2009,04/08/2009,80,Spring (Heavy Gauge) Manufacturing
1034,hhgregg distribution center,Indianapolis,02/05/2009,04/06/2009,51,Household Appliance Stores
1035,Pelco Inc.,Indianapolis,01/31/2009,03/31/2009,42,Vide and Security Systems Manufacturing
1036,Continental Automotive Systems,Elkhart,01/30/2009,03/31/2009 to 12/30/2009,119,Miscellaneous Electrical Equipment
1037,Dexter Axel,Manchester,01/30/2009,02/02/2009 to  12/30/2009,156,All Other Motor Vehicle Parts Mfg
1038,Teleperformance USA,Fishers,01/29/2009,04/03/2009,395,All Other Professional & Technical Svc
1039,OFS Brands,Huntingburg,01/22/2009,03/23/2009,68,Laboratory Apparatus and Furniture
1040,International Paper,Hartford City,01/23/2009,03/02/2009 to 4/06/2009,99,Corrugated/SolidFiber Box Manufacturing
1041,"Liberty Homes, Inc",Syracuse,01/16/2009,03/20/2009,81,New Single-Family Housing Construction
1042,AT&T,Indianapolis,01/13/2009,03/16/2009,115,Other Electronic Parts Merchant Whsle
1043,Holm Industries,Scottsburg,01/12/2009,03/16/2009,38,All Other Plastics Product Manufacturing
1044,Beach Mold and Tool Inc.,Albany,01/06/2009,01/09/2009,193,Industrial Mold Manufacturing
1045,Kimball Office,Borden,01/12/2009,03/31/2009,75,Wood Office Furniture Manufacturing
1046,MAHLE,Churubusco,01/12/2009,3rd Quarter of 2009,78,Packages gaskets
1047,"Sleep Innovations, Inc.",Elkhart,01/12/2009,04/27/2009,104,Other household products
1048,Patriot Homes,Middlebury,01/09/2009,01/23/2009,125,Manufactured/Mobile Home Manufacturing
1049,General Aluminum,Richmond,01/09/2009,03/08/2009,84,Automotive Components
1050,Color-Box,Indianapolis,01/09/2009,03/10/2009,74,Abrasive Product Manufacturing
1051,Macy's Department Store,Indianapolis,01/08/2009,03/26/2009,98,"Department Stores, ex. Discount"
1052,Yellow Transportation,South Bend,12/28/2008,03/01/2009,60,"General Freight Trucking, Long-Dist TL"
1053,Roadway Express,South Bend,12/28/2008,03/01/2009,69,"General Freight Trucking, Long-Dist TL"
1054,Fortis Plastics,Elkhart,12/17/2008,02/16/2009,Undisclosed at this time,Other plastics product
1055,ATI Alleheny Ludlum,New Castle,12/22/2008,August to December 2008,115,Rolled Steel Shape
1056,Odyssey Group LLC,Bristol,12/08/2008,12/01/2008,170,Wiring & Equipment
1057,deflect-o Corporation,Indianapolis and Fishers,12/11/2008,02/13/2009,219,All Other Miscellaneous
1058,Dalton Corporation,Kendallville,12/09/2008,05/01/2009,281,Iron Foundries
1059,Arbonne International,Greenwood,12/08/2008,02/08/2009,95,Other Direct Selling Establishments
1060,Entegra Coach,Wakarusa,12/09/2008,02/07/2009,134,Travel Trailer and Camper Manufacturing
1061,DHL Express,Lafayette,12/03/2008,01/23/2008,34,Couriers
1062,DHL Express,Bloomington,12/03/2008,01/23/2008,30,Couriers
1063,DHL Express,South Bend,12/03/2008,01/23/2008,70,Couriers
1064,DHL Express,"Indianapolis, Johnson Road",12/03/2008,01/23/2008,80,Couriers
1065,DHL Express,"Indianapolis, Fortune Circle",12/03/2008,01/23/2008,109,Couriers
1066,KM Plan Services,Hammond,11/26/2008,01/23/2008,239,Other Services to Buildings & Dwellings
1067,Hoosier Hand-Pak,Terre Haute,12/01/2008,10/17/2008,60,Packaging and Labeling
1068,Dexter Axle Company,North Manchester,12/01/2008,02/02/2009,164,Fabricated Structural Metal Mfg
1069,SourceNet inc.,East Chicago,12/01/2008,12/05/2009,48,Employment Placement Agencies
1070,ArcelorMittal USA Inc.,Burns Harbor,11/21/2008,01/25/2009,2444,Iron and Steel Mills
1071,Accent Marketing,New Albany,11/20/2008,01/20/2009,164,All Other Business Support Services
1072,Fleetwood,Crawfordsville,11/21/2008,01/16/2009,109,Travel Trailer and Camper Manufacturing
1073,MI Windows and Doors Inc,Lebanon,11/20/2008,11/20/2008,133,Other Metal Manufacturing
1074,"Harford Metal Products, Inc",Hartford City,11/21/2008,01/20/2009,38,All Other Motor Vehicle Parts Mfg
1075,Bluegreen Corp.,Indianapolis,11/20/2008,01/20/2009,92,All Other Professional & Technical Svc
1076,Knauf Insulation,Shelbyville,11/18/2008,01/18/2008,65,All Other Miscellaneous Manufacturing
1077,"Starcraft RV, Inc.",Topeka,11/17/2008,01/17/2009,244,Travel Trailer and Camper
1078,Palladium-Item,Richmond,11/11/2008,01/10/2009,60,Newspaper Publishers
1079,Modine Manufacturing,Logansport,11/17/2008,01/23/2009-2010,147,All Other Motor Vehicle Parts
1080,Modine Manufacturing-Revised,Logansport,,,,
1081,Modine Manufacturing-Revised,Logansport,,,,
1082,Modine Manufacturing-Revised,Logansport,,,,
1083,"Kinro, Inc",Bristol,11/05/2008,01/05/2009,143,Manufacturer of windows for homes and RV industry
1084,Fruedenburg-NOK,Scottsburg,11/06/2008,01/09/2009-5/31/2009,85,All Other Motor Vehicle Parts Mfg
1085,"Central Manufacturing, Inc",Parker City,11/07/2008,01/06/2009,58,Motor Vehicle Metal Stamping
1086,Fruedenburg-NOK,Scottsburg,11/06/2008,1/09/2009-5/31/2009,85,All Other Motor Vehicle Parts Mfg
1087,Thomson Inc.,Carmel,11/06/2008,1/04/2008-6/30/2009,71,Audio and Visual Equipment
1088,Target Store,Indianapolis S. East Street,11/05/2008,11/17/2008,80,Discount Department
1089,Meridian Automotive,Huntington,11/05/2008,11/14/2008-1/30/2009,186,Miscellaneous Fabricated Metal
1090,HYOSUNG (America) INC.,Scottsburg,10/31/2008,12/31/2008,154,Iron and Steel Pipe and Tube Manufacturing
1091,Roche Diagnostics,Indianapolis,10/31/2008,12/31/2008 - 2010,323,Surgical and Medical
1092,"Archer Land Title, Inc.",Indianapolis,10/24/2008,11/03/2008-12/01/2008,48,Other Depository Credit Intermediation
1093,Salga Inc.,Fremont,10/21/2008,12/20/2008,83,All Other Plastics Product Manufacturing
1094,Taylor University,Fort Wayne,10/16/2008,11/01/2008-5/31/2009,93,Colleges and Universities
1095,Sears Holdings Corporation,Indianapolis (2 locations),10/15/2008,01/11/2009,110,"Department Stores, ex. Discount"
1096,Kmart Corporation,Clarksville,10/15/2008,12/18/2008,53,All Other General Merchandise Stores
1097,Great Dane Trailers,Terre Haute,10/09/2008,10/17/2008,108,Truck Trailer Manufacturing
1098,Scott Brass Inc.,Mishawaka & New Carlisle,10/08/2008,10/08/2008,107,Other Fabricated Wire Product Manufacturing
1099,Southwest Research Institute,Clinton,09/23/2008,1/09/2008-6/09/2010,92,All Other Professional & Technical Svc
1100,DriveSol Worldwide Inc.,Kendallville,09/11/2008,12/21/2008,157,Motor Vehicle Body Manufacturing
1101,Flexsteel,New Paris,09/10/2008,11/09/2008,157,"Household Furniture, Ex. Wood or Metal"
1102,LEAR Corporation,Hammond,09/03/2008,11/03/2008,121,Automotive Interior Systems and Components
1103,Kurz Kasch,Wabash,09/04/2008,09/04/2008-11/07/2008,72,Coil Manufacturing
1104,Eli Lilly and Company,"Indianapolis, 1400 West Raymond Street",08/28/2008,10/30/2008,98,Pharmaceutical Preparation Manufacturing
1105,Eli Lilly and Company,"Indianapolis, Corporate Center",08/28/2008,10/30/2008,84,Pharmaceutical Preparation Manufacturing
1106,PSC Metals Inc,Burns Harbor,08/28/2008,10/14/2008,108,Secondary Smelting/Alloying of Aluminum
1107,"Driggs Farms of Indiana, Inc.",Decatur,08/27/2008,8/26/2008,200,Ice Cream Manufacturing
1108,"MasterBrand Cabinets, Inc",Richmond,08/26/2008,10/26/2008,275,Wood Product Manufacturing
